gene,AT2,Ciliated,Basal,AT1,Secretory,Goblet
AC008705.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
GABRP,0.013466087,0.015235639,0.024825513,0.0177535,0.029312342,0.038338825
NPM1,0.05105533,0.036290184,0.058109418,0.040976167,0.04837884,0.04993599
AC011410.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC113423.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC025752.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC113346.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC008413.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
THOC3,0.031047396,0.017352633,0.040026166,0.024975171,0.027427146,0.03266414
AC140125.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC136601.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC109479.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC109479.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC136628.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02222,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
OR2Y1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
TRIM7,0.015370456,0.013700703,0.034429897,0.015997246,0.013037703,0.03171991
RACK1,0.056325335,0.047075603,0.061899394,0.045641236,0.058067918,0.05701461
AL035696.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL356130.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01394,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL133351.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DSP,0.03245335,0.027719691,0.04233576,0.03763691,0.033985805,0.037558638
TFAP2A,0.014162093,0.017093644,0.032352727,0.01521845,0.027388474,0.028650086
AL022396.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02543,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
STMND1,0.016152352,0.031094091,0.016252879,0.016412055,0.01929652,0.018333782
HDGFL1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL033539.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HIST1H2AA,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HIST1H4G,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC00533,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
OR2B3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
OR12D3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
OR2H1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
MAS1L,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01015,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
IER3,0.038773067,0.01876143,0.0481028,0.03438973,0.04300037,0.042639505
DDR1,0.035605073,0.027292386,0.03962271,0.038642235,0.036264267,0.039395396
SFTA2,0.0618994,0.01906206,0.015666325,0.052119665,0.030747715,0.01782833
SLC44A4,0.035483625,0.047505043,0.026648771,0.026587022,0.040412564,0.045261215
C2,0.04344552,0.015641578,0.015715871,0.026886532,0.036011856,0.02479713
C4A-AS1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AGER,0.039385993,0.015641578,0.018707091,0.07362246,0.026854496,0.017123539
SPDEF,0.023361994,0.0127929095,0.02472276,0.013262375,0.03469102,0.037767418
RPL10A,0.057001002,0.052769523,0.06634423,0.044913396,0.06185519,0.059374288
KIF6,0.021363335,0.022756608,0.01510131,0.023437792,0.013304773,0.014801318
LINC00951,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL139275.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL583854.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
MDFI,0.013384279,0.012334565,0.03147204,0.015810294,0.015766632,0.026175674
PGC,0.05665747,0.016607035,0.013830312,0.037429985,0.028746374,0.01614366
AL096814.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DLK2,0.016990613,0.013163017,0.0424329,0.016248059,0.012257451,0.020272622
LRRC73,0.019799132,0.021708451,0.021437975,0.018499538,0.013974028,0.016281944
RSPH9,0.019075802,0.04387351,0.019007176,0.021403389,0.020483213,0.018400902
AL157371.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
CLIC5,0.031955913,0.017824072,0.012197956,0.05813719,0.023833767,0.023545692
ANKRD66,0.0136067,0.032202873,0.013889359,0.014014408,0.015249217,0.014560162
ADGRF5,0.047217056,0.019338023,0.019756906,0.04615121,0.036781695,0.024121415
CRISP3,0.012380193,0.012107106,0.012597544,0.014156959,0.040079605,0.019453783
AL359458.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DEFB114,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DEFB113,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
EFHC1,0.031615835,0.048895355,0.027253972,0.034906473,0.028216314,0.026432514
GSTA2,0.013865732,0.035850774,0.021318648,0.013064847,0.033985805,0.031914547
GSTA1,0.024349874,0.053004164,0.036037594,0.020334834,0.04853717,0.050300673
GCLC,0.019742846,0.026537197,0.038439278,0.027811633,0.031982172,0.03426888
AL589946.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
COL21A1,0.018625766,0.023654083,0.0211111,0.01719227,0.017094327,0.020358697
DST,0.029100563,0.019172138,0.05066543,0.06192898,0.030339135,0.029276531
KHDRBS2,0.029698582,0.013384278,0.021170236,0.056684546,0.013503253,0.01226914
RIMS1,0.022042887,0.014821977,0.020011192,0.017622111,0.036913805,0.03421285
COL12A1,0.026060302,0.012712361,0.024620464,0.050499592,0.015445464,0.015251516
AL132875.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL360157.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
TPBG,0.031376813,0.017535154,0.037618928,0.03092279,0.03330923,0.03382583
CFAP206,0.017745022,0.026500136,0.015028241,0.017257037,0.01355009,0.013387474
AL080284.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AL391336.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
Z86062.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
CD24,0.032178026,0.050858673,0.036940187,0.037776448,0.0383023,0.046536922
ARMC2,0.02683604,0.02710103,0.018788638,0.03502356,0.020627877,0.017020404
